#ID,extended Marcello&Barry,Weirather et al.,Type
Tb427-1,A2,N2,2-2
Tb427-1013,B1,N4,3
Tb427-11,B1,N4,1
Tb427-12,A2,N2,1
Tb427-1233,A1,N1,2-2
Tb427-13,A3,N3,1
Tb427-14,B1,N4,2-2
Tb427-15,B1,N4,3
Tb427-16,A2,N2,2-2
Tb427-17,A2,N2,2-2
Tb427-18,A2,N2,1
Tb427-19,A2,N2,2-2
Tb427-1918,B1,N4,1
Tb427-1952,A2,N2,1
Tb427-1954,B2,N4,3
Tb427-1963,B2,N4,1
Tb427-1972,B1,N4,3
Tb427-2,A2,N2,2-2
Tb427-2075,B1,N4,1
Tb427-21,A3,N3,1
Tb427-2114,B1,N4,1
Tb427-2184,B1,N4,3
Tb427-2186,B1,N4,3
Tb427-22,B2,N4,2-2
Tb427-2217,B1,N4,1
Tb427-2225,A2,N2,1
Tb427-2227,A1,N1,2-1
Tb427-2266,B2,N4,2-2
Tb427-2267,A1,N1,1
Tb427-2271,B1,N4,3
Tb427-2272,A3,N3,2-2
Tb427-2279,A2,N2,1
Tb427-23,B1,N4,1
Tb427-2302,A1,N1,2-1
Tb427-2304,A2,N2,1
Tb427-2313,A2,N2,1
Tb427-2331,B1,N4,1
Tb427-2345,A3,N3,2-1
Tb427-2348,A3,N3,2-2
Tb427-2351,B1,N4,3
Tb427-2354,A2,N2,1
Tb427-2355,B2,N4,2-2
Tb427-2362,B1,N4,2-2
Tb427-2371,B2,N4,3
Tb427-2378,A1,N1,3
Tb427-24,A2,N2,1
Tb427-25,A1,N1,2-1
Tb427-3,B1,N4,1
Tb427-301,B2,N4,3
Tb427-303,B2,N4,3
Tb427-304,B2,N4,3
Tb427-305,B2,N4,3
Tb427-306,B2,N4,3
Tb427-307,B2,N4,3
Tb427-308,B2,N4,1
Tb427-309,B2,N4,3
Tb427-31,A2,N2,2-2
Tb427-310,A2,N2,3
Tb427-311,A2,N2,3
Tb427-312,A2,N2,3
Tb427-313,B1,N4,3
Tb427-314,A2,N2,1
