genome,year,origin,accession
B4_4163P,2004, Cote d'Ivoire , ERR270859
B4_F303P,2004, Cote d'Ivoire , ERR270868
B4_G2P,2004, Cote d'Ivoire , ERR270881
B4_I314P,2004, Cote d'Ivoire , ERR270863
CB5_1,2002, Cote d'Ivoire  , ERR270870
S1_1_6R,2002, Cote d'Ivoire  , ERR270843
S14_5_1,2002, Cote d'Ivoire  , ERR270815
S15_1_KIVI,2002, Cote d'Ivoire , ERR270867
S27_16_13,2000, Cote d'Ivoire  , ERR270884
S27_2_6,2000, Cote d'Ivoire  , ERR270885
S3_4_1,2000, Cote d'Ivoire , ERR270882
S7_2_2,2002, Cote d'Ivoire , ERR270841
DEOLA,1984, Cote d'Ivoire  , ERR270839
ISTI,1983, Cote d'Ivoire , ERR270834
LIGO,1984, Cote d'Ivoire , ERR270830
LISA,1983, Cote d'Ivoire , ERR270816
SEVAL,1984, Cote d'Ivoire  , ERR270835
TOBO,1983, Cote d'Ivoire , ERR270840
ZENOU,1983, Cote d'Ivoire  , ERR270837
OUSOU,1982, Cote d'Ivoire  , ERR270828
TSW33,1982, Cote d'Ivoire  , ERR273558
ABBA,1983, Cote d'Ivoire , SRR5307969
tbgDAL972,1986, Cote d'Ivoire  , SAMEA2272188
BRAZO,1984, Cote d'Ivoire  , ERR270833
KOBIR,1982, Cote d'Ivoire  , ERR270824
85BT,2005, DRC , https://doi.org/10.5061/dryad.d58b8
57AT,2006, DRC , https://doi.org/10.5061/dryad.d58b8
45BT,2005, DRC , https://doi.org/10.5061/dryad.d58b8
378BT,2006, DRC  , https://doi.org/10.5061/dryad.d58b8
349BT,2005, DRC  , https://doi.org/10.5061/dryad.d58b8
348BT,2005, DRC  , https://doi.org/10.5061/dryad.d58b8
346BT,2005, DRC  , https://doi.org/10.5061/dryad.d58b8
340AT,2006, DRC  , https://doi.org/10.5061/dryad.d58b8
163AT,2005, DRC  , https://doi.org/10.5061/dryad.d58b8
148BT,2005, DRC  , https://doi.org/10.5061/dryad.d58b8
146BT,2005, DRC  , https://doi.org/10.5061/dryad.d58b8
141BT,2005, DRC  , https://doi.org/10.5061/dryad.d58b8
