original_seqID,original_seq_length,nterm_seq_length,HMM_profile,nterm_typesubtype
Tb427_000415000:pseudogene,539,459,VSG-N-TypeB,B2
Tb427_000043500:pseudogene,446,384,VSG-N-TypeA,A1
Tb427_000314100:pseudogene,482,366,VSG-N-TypeB,B1
Tb427_000304100:pseudogene,437,377,VSG-N-TypeB,B1
Tb427_000440100:pseudogene,514,395,VSG-N-TypeB,B1
Tb427_000464400:pseudogene,445,400,VSG-N-TypeA,A2
Tb427_000203400:pseudogene,500,411,VSG-N-TypeB,B1
Tb427_000396000:pseudogene,474,305,VSG-N-TypeA,A3
Tb427_000139900,89,90,VSG-N-TypeB,B2
Tb427_000351600:pseudogene,427,388,VSG-N-TypeA,A2
Tb427_000085600:pseudogene,633,564,VSG-N-TypeB,B1
Tb427_000053900:pseudogene,431,301,VSG-N-TypeB,B1
Tb427_000512800,449,397,VSG-N-TypeA,A2
Tb427_000202600,190,190,VSG-N-TypeA,A2
Tb427_000851300,294,222,VSG-N-TypeA,A1
Tb427_000509600,294,222,VSG-N-TypeA,A1
Tb427_000210300,515,394,VSG-N-TypeB,B1
Tb427_000385600:pseudogene,521,397,VSG-N-TypeB,B1
Tb427_000852600,330,307,VSG-N-TypeA,A3
Tb427_000296600:pseudogene,476,400,VSG-N-TypeA,A3
Tb427_000192000:pseudogene,501,379,VSG-N-TypeB,B1
Tb427_000061400:pseudogene,412,388,VSG-N-TypeB,B2
Tb427_000293500:pseudogene,476,350,VSG-N-TypeB,B2
Tb427_000444200,213,174,VSG-N-TypeA,A2
Tb427_000438200:pseudogene,460,377,VSG-N-TypeA,A3
Tb427_000548200,508,428,VSG-N-TypeA,A1
Tb427_000182600:pseudogene,508,384,VSG-N-TypeB,B2
Tb427_000365800,195,125,VSG-N-TypeA,A2
Tb427_000304600:pseudogene,340,274,VSG-N-TypeB,B2
Tb427_000266100:pseudogene,520,402,VSG-N-TypeA,A2
Tb427_000614700,575,456,VSG-N-TypeB,B2
Tb427_000104400:pseudogene,488,361,VSG-N-TypeB,B1
Tb427_000573700:pseudogene,462,276,VSG-N-TypeA,A2
Tb427_000547300,504,408,VSG-N-TypeA,A2
Tb427_000466900:pseudogene,472,390,VSG-N-TypeA,A3
Tb427_000424900,489,414,VSG-N-TypeA,A1
Tb427_000720200,516,379,VSG-N-TypeB,B2
Tb427_000413700:pseudogene,457,384,VSG-N-TypeA,A1
Tb427_000750900,484,385,VSG-N-TypeB,B1
Tb427_000466700,493,400,VSG-N-TypeA,A2
Tb427_000192700,501,410,VSG-N-TypeB,B1
Tb427_000625200,124,118,VSG-N-TypeA,A1
Tb427_000380100:pseudogene,512,398,VSG-N-TypeA,A1
Tb427_000231100,526,383,VSG-N-TypeB,B1
Tb427_060008600:pseudogene,450,404,VSG-N-TypeB,B2
Tb427_000686200,269,262,VSG-N-TypeB,B1
Tb427_000224900:pseudogene,513,396,VSG-N-TypeB,B2
Tb427_000325600:pseudogene,532,170,VSG-N-TypeB,B1
Tb427_000412000:pseudogene,508,248,VSG-N-TypeB,B2
Tb427_000572400,229,169,VSG-N-TypeB,B1
Tb427_000796700,459,399,VSG-N-TypeB,B1
Tb427_000305600,340,328,VSG-N-TypeA,A2
Tb427_000860700,506,382,VSG-N-TypeA,A2
Tb427_000062300,383,251,VSG-N-TypeB,B2
Tb427_000633600,474,378,VSG-N-TypeA,A2
Tb427_000448300,572,450,VSG-N-TypeB,B2
Tb427_000089700,483,167,VSG-N-TypeA,A2
Tb427_000535100,442,396,VSG-N-TypeA,A1
Tb427_000225400:pseudogene,502,424,VSG-N-TypeA,A1
Tb427_000420000,263,145,VSG-N-TypeA,A3
Tb427_000106000,482,375,VSG-N-TypeB,B2
Tb427_000139000,486,409,VSG-N-TypeA,A1
Tb427_000503800,520,384,VSG-N-TypeB,B1
Tb427_000178200:pseudogene,440,393,VSG-N-TypeB,B1
Tb427_000176500,89,90,VSG-N-TypeA,A1
Tb427_000340900:pseudogene,399,380,VSG-N-TypeA,A1
Tb427_000345700:pseudogene,526,438,VSG-N-TypeA,A1
Tb427_000184900:pseudogene,456,399,VSG-N-TypeB,B2
Tb427_000035200,243,188,VSG-N-TypeB,B2
Tb427_000092200:pseudogene,435,409,VSG-N-TypeA,A1
Tb427_000298800,513,379,VSG-N-TypeB,B2
Tb427_000523300,229,134,VSG-N-TypeB,B2
Tb427_000451600:pseudogene,465,384,VSG-N-TypeB,B1
Tb427_000184200:pseudogene,463,387,VSG-N-TypeB,B1
Tb427_000496800,520,393,VSG-N-TypeB,B2
Tb427_000029900:pseudogene,372,59,VSG-N-TypeA,A2
Tb427_000047400:pseudogene,503,394,VSG-N-TypeB,B1
Tb427_000447200:pseudogene,452,75,VSG-N-TypeA,A2
Tb427_000314400:pseudogene,521,398,VSG-N-TypeB,B2
Tb427_000086100,112,112,VSG-N-TypeB,B1
Tb427_000439500:pseudogene,494,426,VSG-N-TypeA,A1
Tb427_000059400,120,121,VSG-N-TypeB,B1
Tb427_000610700:pseudogene,487,373,VSG-N-TypeA,A2
Tb427_000370700:pseudogene,497,392,VSG-N-TypeB,B1
Tb427_000861700,289,209,VSG-N-TypeA,A1
Tb427_000426300:pseudogene,281,260,VSG-N-TypeB,B2
Tb427_000110900,503,413,VSG-N-TypeB,B1
Tb427_000602700:pseudogene,503,385,VSG-N-TypeA,A2
Tb427_000844600,477,400,VSG-N-TypeB,B1
Tb427_000100100:pseudogene,497,370,VSG-N-TypeB,B2
Tb427_000143100,219,216,VSG-N-TypeA,A2
Tb427_000604600:pseudogene,485,415,VSG-N-TypeA,A1
Tb427_000406300:pseudogene,502,377,VSG-N-TypeB,B1
Tb427_000340100,231,93,VSG-N-TypeB,B1
Tb427_000527800:pseudogene,423,390,VSG-N-TypeA,A1
Tb427_000244700:pseudogene,474,394,VSG-N-TypeA,A1
Tb427_000457200:pseudogene,441,356,VSG-N-TypeB,B1
Tb427_050006200,329,277,VSG-N-TypeB,B2
Tb427_000094100:pseudogene,491,351,VSG-N-TypeB,B2
Tb427_000555800:pseudogene,502,132,VSG-N-TypeA,A3
Tb427_000750700:pseudogene,467,396,VSG-N-TypeB,B1
Tb427_000050200:pseudogene,328,213,VSG-N-TypeB,B2
Tb427_000612100:pseudogene,423,368,VSG-N-TypeB,B1
Tb427_000335000:pseudogene,523,396,VSG-N-TypeB,B2
Tb427_000077600,511,420,VSG-N-TypeA,A1
Tb427_000297500,397,398,VSG-N-TypeA,A2
