Tb427VSG-1	Tb427_000630400
Tb427VSG-2	Tb427_000016000
Tb427VSG-3	Tb427_000025600
Tb427VSG-4	Tb427_000398800:pseudogene
Tb427VSG-5	Tb427_000487400
Tb427VSG-6	Tb427_000020200:pseudogene
Tb427VSG-8	Tb427_000008000:pseudogene
Tb427VSG-9	Tb427_000018400
Tb427VSG-11	Tb427_000012400:pseudogene
Tb427VSG-13	Tb427_000014000
Tb427VSG-14	Tb427_000500400
Tb427VSG-15	Tb427_000005900
Tb427VSG-16	Tb427_000007000:pseudogene
Tb427VSG-17	Tb427_000009500:pseudogene
Tb427VSG-18	Tb427_000023600
Tb427VSG-19	Tb427_000634700
Tb427VSG-21	Tb427_000021900
Tb427VSG-22	Tb427_000863300
Tb427VSG-23	Tb427_000631300:pseudogene
Tb427VSG-24	Tb427_000075000
Tb427VSG-25	Tb427_000839700
Tb427VSG-31	Tb427_000805900
Tb427VSG-299	Tb427_000258700:pseudogene
Tb427VSG-301	Tb427_000626100:pseudogene
Tb427VSG-303	Tb427_000354000
Tb427VSG-304	Tb427_000046500
Tb427VSG-305	Tb427_000351200:pseudogene
Tb427VSG-306	Tb427_000234900:pseudogene
Tb427VSG-307	Tb427_000187700
Tb427VSG-308	Tb427_000850900
Tb427VSG-309	Tb427_000592900
Tb427VSG-310	Tb427_000553800
Tb427VSG-311	Tb427_000198600
Tb427VSG-312	Tb427_070071200
Tb427VSG-313	Tb427_000567800
Tb427VSG-314	Tb427_000371800
Tb427VSG-315	Tb427_000836300:pseudogene
Tb427VSG-316	Tb427_000054700:pseudogene
Tb427VSG-317	Tb427_000253700
Tb427VSG-318	Tb427_000093300
Tb427VSG-319	Tb427_000053700
Tb427VSG-320	Tb427_000084200
Tb427VSG-322	Tb427_000634800
Tb427VSG-323	Tb427_000350800:pseudogene
Tb427VSG-324	Tb427_000280700
Tb427VSG-325	Tb427_000376300:pseudogene
Tb427VSG-326	Tb427_000578100
Tb427VSG-327	Tb427_000612500:pseudogene
Tb427VSG-328	Tb427_000043400
Tb427VSG-329	Tb427_000266900
Tb427VSG-330	Tb427_000438400
Tb427VSG-331	Tb427_000837200
Tb427VSG-332	Tb427_000101200
Tb427VSG-333	Tb427_000514800:pseudogene
Tb427VSG-334	Tb427_000469200
Tb427VSG-335	Tb427_000028200
Tb427VSG-336	Tb427_000488100:pseudogene
Tb427VSG-337	Tb427_000325700
Tb427VSG-338	Tb427_000358000
Tb427VSG-339	Tb427_000536600:pseudogene
Tb427VSG-341	Tb427_000489600
Tb427VSG-342	Tb427_000604700
Tb427VSG-343	Tb427_000860500
Tb427VSG-344	Tb427_000102400
Tb427VSG-346	Tb427_000479200
Tb427VSG-347	Tb427_000473400
Tb427VSG-348	Tb427_000134000
Tb427VSG-349	Tb427_000789200
Tb427VSG-351	Tb427_000379700
Tb427VSG-352	Tb427_000555300
Tb427VSG-353	Tb427_000198200
Tb427VSG-354	Tb427_000351700
Tb427VSG-355	Tb427_000461900:pseudogene
Tb427VSG-356	Tb427_000797000
Tb427VSG-357	Tb427_000066000
Tb427VSG-358	Tb427_000207000
Tb427VSG-359	Tb427_000428100
Tb427VSG-360	Tb427_000138700:pseudogene
Tb427VSG-361	Tb427_000796700
Tb427VSG-362	Tb427_000651300
Tb427VSG-363	Tb427_000442100
Tb427VSG-364	Tb427_000520100:pseudogene
Tb427VSG-365	Tb427_000631800
Tb427VSG-366	Tb427_000114300:pseudogene
Tb427VSG-367	Tb427_000079100
Tb427VSG-368	Tb427_000234300
Tb427VSG-369	Tb427_000836200:pseudogene
Tb427VSG-370	Tb427_000463800
Tb427VSG-371	Tb427_000399600:pseudogene
Tb427VSG-372	Tb427_000198800
Tb427VSG-374	Tb427_000631900:pseudogene
Tb427VSG-375	Tb427_000104400:pseudogene
Tb427VSG-376	Tb427_000494900
Tb427VSG-379	Tb427_000423600
Tb427VSG-380	Tb427_000547700
Tb427VSG-381	Tb427_000323300
Tb427VSG-382	Tb427_000482200
Tb427VSG-383	Tb427_000462100
Tb427VSG-384	Tb427_000451900
Tb427VSG-385	Tb427_000612800
Tb427VSG-386	Tb427_000328000
Tb427VSG-387	Tb427_000160500:pseudogene
Tb427VSG-388	Tb427_000858800
Tb427VSG-389	Tb427_000216600:pseudogene
Tb427VSG-390	Tb427_000346100
Tb427VSG-391	Tb427_000858400
Tb427VSG-393	Tb427_000750700:pseudogene
Tb427VSG-394	Tb427_000588300
Tb427VSG-396	Tb427_000106400
Tb427VSG-397	Tb427_000106600
Tb427VSG-398	Tb427_000388400:pseudogene
Tb427VSG-399	Tb427_000592000
Tb427VSG-400	Tb427_000298800
Tb427VSG-401	Tb427_000622500
Tb427VSG-402	Tb427_000553900
Tb427VSG-403	Tb427_000182500
Tb427VSG-404	Tb427_000425400
Tb427VSG-405	Tb427_000617300
Tb427VSG-406	Tb427_000353200:pseudogene
Tb427VSG-407	Tb427_000212200:pseudogene
Tb427VSG-408	Tb427_000438800
Tb427VSG-409	Tb427_000446600
Tb427VSG-410	Tb427_000596400
Tb427VSG-411	Tb427_000600500
Tb427VSG-412	Tb427_000344700:pseudogene
Tb427VSG-413	Tb427_000383000:pseudogene
Tb427VSG-414	Tb427_000566600:pseudogene
Tb427VSG-415	Tb427_000324500
Tb427VSG-416	Tb427_000632100
Tb427VSG-417	Tb427_000632200
Tb427VSG-418	Tb427_000575900
Tb427VSG-419	Tb427_000403200
Tb427VSG-420	Tb427_000469900:pseudogene
Tb427VSG-421	Tb427_000440800:pseudogene
Tb427VSG-422	Tb427_000194800:pseudogene
Tb427VSG-423	Tb427_000609100
Tb427VSG-424	Tb427_000843600
Tb427VSG-426	Tb427_000097700
Tb427VSG-427	Tb427_000032400
Tb427VSG-428	Tb427_000161200:pseudogene
Tb427VSG-429	Tb427_000420700
Tb427VSG-430	Tb427_000630100
Tb427VSG-431	Tb427_000101400:pseudogene
Tb427VSG-432	Tb427_000103100
Tb427VSG-433	Tb427_000308600
Tb427VSG-434	Tb427_000199000
Tb427VSG-435	Tb427_000306400:pseudogene
Tb427VSG-436	Tb427_000051800
Tb427VSG-438	Tb427_000626900
Tb427VSG-439	Tb427_000056900
Tb427VSG-440	Tb427_000382400
Tb427VSG-441	Tb427_000859700
Tb427VSG-442	Tb427_000494400
Tb427VSG-443	Tb427_000689900
Tb427VSG-444	Tb427_000632300
Tb427VSG-445	Tb427_000210000:pseudogene
Tb427VSG-446	Tb427_000400300
Tb427VSG-447	Tb427_000071700
Tb427VSG-448	Tb427_000074700
Tb427VSG-449	Tb427_000629000:pseudogene
Tb427VSG-451	Tb427_000449600:pseudogene
Tb427VSG-452	Tb427_000061300
Tb427VSG-453	Tb427_000248400
Tb427VSG-454	Tb427_000571000
Tb427VSG-455	Tb427_000612400
Tb427VSG-456	Tb427_000268000
Tb427VSG-457	Tb427_000059800
Tb427VSG-458	Tb427_000307400:pseudogene
Tb427VSG-459	Tb427_000361000:pseudogene
Tb427VSG-460	Tb427_000371600:pseudogene
Tb427VSG-461	Tb427_000184800:pseudogene
Tb427VSG-462	Tb427_000365900
Tb427VSG-463	Tb427_000551300
Tb427VSG-464	Tb427_000282500
Tb427VSG-465	Tb427_000593800
Tb427VSG-466	Tb427_000421400
Tb427VSG-467	Tb427_000166800
Tb427VSG-468	Tb427_000123100
Tb427VSG-469	Tb427_000483300:pseudogene
Tb427VSG-470	Tb427_000110900
Tb427VSG-471	Tb427_000204100
Tb427VSG-472	Tb427_000063000
Tb427VSG-473	Tb427_000425500
Tb427VSG-474	Tb427_000588900
Tb427VSG-475	Tb427_000552000
Tb427VSG-476	Tb427_000804600
Tb427VSG-477	Tb427_000298000
Tb427VSG-478	Tb427_000334900:pseudogene
Tb427VSG-479	Tb427_000094600
Tb427VSG-480	Tb427_000163900
Tb427VSG-481	Tb427_000225700
Tb427VSG-482	Tb427_000626200:pseudogene
Tb427VSG-483	Tb427_000471300
Tb427VSG-484	Tb427_000612200
Tb427VSG-485	Tb427_000629600
Tb427VSG-486	Tb427_000063300
Tb427VSG-487	Tb427_000150100:pseudogene
Tb427VSG-488	Tb427_000171900
Tb427VSG-489	Tb427_000255700
Tb427VSG-490	Tb427_000075800
Tb427VSG-491	Tb427_000340800
