original_seqID,original_seq_length,nterm_seq_length,HMM_profile,nterm_typesubtype
TRINITY_DN6_c0_g1_i34_1_2_1241_RC_02S_3,413,340,VSG-N-TypeB,B1
TRINITY_DN66_c0_g1_i1_1_26_1481_11S_1,485,397,VSG-N-TypeB,B2
TRINITY_DN87_c0_g1_i2_1_5_1559_02S_1,518,401,VSG-N-TypeA,A2
TRINITY_DN100_c0_g1_i4_1_81_1184_02S_2,367,290,VSG-N-TypeB,B2
TRINITY_DN7_c0_g2_i21_2_1_1423_RC_11S_1,474,380,VSG-N-TypeB,B2
TRINITY_DN35_c0_g1_i1_1_114_1605_02S_1,497,403,VSG-N-TypeB,B1
TRINITY_DN5_c0_g2_i10_1_96_1415_02S_3,439,371,VSG-N-TypeB,B2
TRINITY_DN224_c0_g1_i1_1_55_1317_02S_1,420,365,VSG-N-TypeB,B2
TRINITY_DN85_c0_g2_i1_1_83_1265_11S_1,394,386,VSG-N-TypeA,A3
TRINITY_DN24_c0_g3_i2_1_0_1460_RC_02S_2,486,407,VSG-N-TypeB,B1
TRINITY_DN33_c0_g1_i1_1_0_1368_RC_02S_3,456,383,VSG-N-TypeA,A2
TRINITY_DN31_c0_g1_i24_1_0_862_RC_02S_2,287,226,VSG-N-TypeB,B2
TRINITY_DN22_c0_g2_i8_1_77_1553_02S_1,492,416,VSG-N-TypeA,A1
TRINITY_DN88_c1_g1_i7_1_2_1351_RC_02S_3,449,415,VSG-N-TypeB,B1
TRINITY_DN2_c0_g1_i8_1_63_1222_02S_1,386,387,VSG-N-TypeB,B2
TRINITY_DN55_c0_g1_i1_1_28_1555_29S_1,509,419,VSG-N-TypeB,B2
TRINITY_DN87_c1_g1_i5_1_83_1475_02S_2,464,398,VSG-N-TypeB,B2
TRINITY_DN109_c0_g1_i2_1_0_1303_RC_02S_2,434,392,VSG-N-TypeB,B1
TRINITY_DN170_c0_g1_i1_1_2_1571_RC_02S_3,523,440,VSG-N-TypeA,A2
TRINITY_DN59_c0_g1_i6_1_161_1584_02S_1,474,396,VSG-N-TypeB,B1
TRINITY_DN50_c0_g1_i3_1_2_1097_RC_02S_3,365,327,VSG-N-TypeB,B1
TRINITY_DN8_c0_g1_i19_1_2_1183_RC_02S_1,393,315,VSG-N-TypeB,B1
TRINITY_DN12_c0_g1_i2_1_1_1460_RC_02S_1,486,404,VSG-N-TypeB,B1
TRINITY_DN23_c0_g1_i1_1_208_1607_11S_3,466,392,VSG-N-TypeB,B1
TRINITY_DN79_c0_g1_i3_1_100_1385_02S_1,428,355,VSG-N-TypeB,B1
TRINITY_DN70_c0_g1_i25_1_1_531_RC_02S_2,176,95,VSG-N-TypeB,B1
TRINITY_DN35_c0_g1_i17_1_0_516_RC_02S_3,172,120,VSG-N-TypeB,B2
TRINITY_DN42_c0_g1_i1_1_181_1414_RC_30S_1,411,293,VSG-N-TypeB,B1
TRINITY_DN103_c0_g1_i15_1_40_1284_02S_2,414,387,VSG-N-TypeB,B1
TRINITY_DN82_c0_g1_i1_1_1_1350_RC_02S_1,449,333,VSG-N-TypeA,A2
TRINITY_DN11_c0_g6_i1_1_11_1484_RC_02S_3,491,392,VSG-N-TypeB,B2
TRINITY_DN129_c0_g1_i1_1_315_1057_02S_3,247,246,VSG-N-TypeB,B2
TRINITY_DN2_c0_g1_i25_1_88_1597_11S_1,503,409,VSG-N-TypeB,B2
TRINITY_DN70_c0_g1_i16_1_30_1011_RC_02S_1,327,253,VSG-N-TypeA,A3
TRINITY_DN32_c0_g1_i9_1_114_1409_02S_3,431,356,VSG-N-TypeB,B2
TRINITY_DN59_c0_g2_i1_1_51_1083_02S_2,344,274,VSG-N-TypeB,B2
TRINITY_DN66_c0_g1_i19_1_104_1517_02S_2,471,393,VSG-N-TypeA,A3
TRINITY_DN77_c0_g1_i4_1_14_920_02S_1,302,260,VSG-N-TypeB,B2
TRINITY_DN249_c0_g1_i1_1_1_1165_RC_02S_1,388,182,VSG-N-TypeA,A1
TRINITY_DN70_c0_g1_i1_1_2_1082_RC_01S_3,360,359,VSG-N-TypeA,A1
TRINITY_DN31_c0_g1_i35_1_0_859_RC_02S_2,286,226,VSG-N-TypeB,B2
TRINITY_DN82_c0_g1_i1_1_1_499_RC_11S_3,166,111,VSG-N-TypeB,B1
TRINITY_DN10_c0_g1_i1_1_67_1449_11S_1,460,394,VSG-N-TypeB,B1
TRINITY_DN18_c0_g1_i1_1_37_1378_RC_11S_1,447,416,VSG-N-TypeA,A1
TRINITY_DN138_c0_g1_i1_1_31_1193_02S_2,387,380,VSG-N-TypeA,A2
TRINITY_DN23_c1_g1_i9_1_11_1049_RC_02S_3,346,269,VSG-N-TypeA,A3
TRINITY_DN59_c0_g1_i4_1_161_1584_02S_1,474,397,VSG-N-TypeB,B1
TRINITY_DN20_c0_g1_i47_1_34_1116_02S_1,360,329,VSG-N-TypeB,B1
TRINITY_DN44_c0_g1_i1_1_142_1606_02S_2,488,149,VSG-N-TypeA,A3
TRINITY_DN278_c0_g1_i1_1_2_1232_RC_02S_3,410,372,VSG-N-TypeB,B2
TRINITY_DN36_c0_g1_i2_1_0_1286_RC_02S_3,428,384,VSG-N-TypeB,B2
TRINITY_DN83_c0_g1_i20_1_2_1359_RC_02S_3,452,401,VSG-N-TypeB,B1
TRINITY_DN40_c0_g1_i17_1_642_1590_RC_02S_3,316,303,VSG-N-TypeB,B2
TRINITY_DN59_c0_g2_i2_1_75_1531_02S_3,485,395,VSG-N-TypeB,B2
TRINITY_DN10_c0_g2_i16_1_93_1262_02S_3,389,387,VSG-N-TypeB,B1
TRINITY_DN199_c0_g1_i1_1_1_739_RC_02S_3,246,175,VSG-N-TypeB,B1
TRINITY_DN26_c0_g1_i1_1_23_1508_23S_1,495,402,VSG-N-TypeB,B1
TRINITY_DN18_c0_g1_i9_1_1292_3012_02S_2,573,486,VSG-N-TypeB,B1
TRINITY_DN2_c0_g2_i1_1_91_1531_11S_1,480,379,VSG-N-TypeA,A2
TRINITY_DN188_c0_g1_i1_1_1_1253_RC_02S_1,417,362,VSG-N-TypeB,B2
TRINITY_DN56_c0_g1_i3_1_2_1065_RC_02S_1,354,355,VSG-N-TypeA,A3
TRINITY_DN58_c0_g1_i6_1_207_1539_02S_2,444,379,VSG-N-TypeA,A2
TRINITY_DN113_c0_g1_i1_1_64_1507_11S_3,481,390,VSG-N-TypeB,B1
TRINITY_DN3_c0_g3_i13_1_79_911_02S_1,277,278,VSG-N-TypeB,B1
TRINITY_DN52_c0_g3_i2_1_296_1294_02S_3,332,259,VSG-N-TypeB,B2
TRINITY_DN82_c0_g1_i4_1_91_998_02S_2,302,251,VSG-N-TypeB,B1
TRINITY_DN77_c1_g1_i25_1_0_1202_RC_02S_2,400,332,VSG-N-TypeB,B1
TRINITY_DN103_c1_g1_i8_1_54_1497_02S_2,481,385,VSG-N-TypeB,B1
TRINITY_DN49_c0_g1_i5_1_0_903_RC_02S_2,301,233,VSG-N-TypeB,B2
TRINITY_DN27_c0_g1_i18_1_92_1241_02S_1,383,384,VSG-N-TypeB,B1
TRINITY_DN92_c0_g1_i1_1_1_1341_RC_02S_1,446,381,VSG-N-TypeB,B2
TRINITY_DN2_c0_g1_i6_1_2_1547_RC_02S_3,515,406,VSG-N-TypeB,B1
TRINITY_DN116_c0_g1_i1_1_93_1446_02S_3,451,383,VSG-N-TypeB,B1
TRINITY_DN921_c0_g1_i1_1_131_1502_RC_19S_3,457,368,VSG-N-TypeB,B2
TRINITY_DN14_c0_g1_i1_1_70_1531_11S_1,487,387,VSG-N-TypeB,B1
TRINITY_DN298_c0_g1_i1_1_83_1403_02S_3,440,396,VSG-N-TypeB,B2
TRINITY_DN12_c0_g1_i20_1_57_1530_11S_2,491,127,VSG-N-TypeA,A3
TRINITY_DN12_c0_g2_i19_1_87_1550_02S_1,487,406,VSG-N-TypeB,B1
TRINITY_DN8_c0_g2_i39_1_182_1601_02S_3,473,381,VSG-N-TypeB,B2
TRINITY_DN15_c0_g2_i25_1_0_830_RC_02S_3,276,227,VSG-N-TypeB,B2
TRINITY_DN15_c0_g1_i4_1_1_920_RC_02S_3,306,256,VSG-N-TypeB,B2
TRINITY_DN14_c0_g1_i2_1_1_1288_RC_02S_1,429,393,VSG-N-TypeB,B2
TRINITY_DN8_c0_g1_i34_1_2_1183_RC_02S_1,393,313,VSG-N-TypeB,B1
TRINITY_DN85_c0_g1_i32_1_46_1204_02S_3,386,387,VSG-N-TypeA,A1
TRINITY_DN58_c0_g1_i30_1_40_1501_RC_02S_3,487,413,VSG-N-TypeA,A1
TRINITY_DN59_c0_g3_i57_1_80_1108_02S_2,342,343,VSG-N-TypeB,B2
TRINITY_DN9_c0_g1_i1_1_2_1199_RC_01S_2,399,386,VSG-N-TypeA,A3
TRINITY_DN223_c0_g1_i1_1_60_1312_02S_2,417,373,VSG-N-TypeB,B2
TRINITY_DN102_c0_g1_i1_1_1_1395_RC_02S_1,464,397,VSG-N-TypeB,B2
TRINITY_DN17_c0_g3_i3_1_32_1583_02S_3,517,405,VSG-N-TypeB,B1
TRINITY_DN47_c0_g1_i19_1_239_1289_02S_1,350,262,VSG-N-TypeB,B2
TRINITY_DN88_c0_g1_i1_1_71_1367_11S_2,432,392,VSG-N-TypeB,B1
