original_seqID,original_seq_length,nterm_seq_length,HMM_profile,nterm_typesubtype
Tbb1125VSG-1448,345,331,VSG-N-TypeA,A2
Tbb1125VSG-1449,344,293,VSG-N-TypeB,B2
Tbb1125VSG-4169,503,414,VSG-N-TypeA,A1
Tbb1125VSG-1440,349,350,VSG-N-TypeB,B1
Tbb1125VSG-1441,348,347,VSG-N-TypeB,B2
Tbb1125VSG-1442,348,348,VSG-N-TypeA,A2
Tbb1125VSG-1443,346,347,VSG-N-TypeA,A1
Tbb1125VSG-1444,450,388,VSG-N-TypeA,A3
Tbb1125VSG-1445,346,347,VSG-N-TypeA,A1
Tbb1125VSG-1446,346,347,VSG-N-TypeA,A1
Tbb1125VSG-1447,345,346,VSG-N-TypeA,A1
Tbb1125VSG-5702,260,173,VSG-N-TypeB,B1
Tbb1125VSG-1288,428,372,VSG-N-TypeA,A2
Tbb1125VSG-5700,260,169,VSG-N-TypeB,B1
Tbb1125VSG-5706,260,216,VSG-N-TypeA,A1
Tbb1125VSG-5705,260,261,VSG-N-TypeB,B2
Tbb1125VSG-1282,429,396,VSG-N-TypeB,B1
Tbb1125VSG-1283,429,388,VSG-N-TypeA,A2
Tbb1125VSG-1280,430,381,VSG-N-TypeB,B2
Tbb1125VSG-1281,429,415,VSG-N-TypeA,A1
Tbb1125VSG-1286,429,364,VSG-N-TypeB,B2
Tbb1125VSG-1287,429,394,VSG-N-TypeA,A2
Tbb1125VSG-1284,429,406,VSG-N-TypeB,B1
Tbb1125VSG-1285,429,99,VSG-N-TypeA,A3
Tbb1125VSG-406,471,325,VSG-N-TypeA,A2
Tbb1125VSG-4160,505,417,VSG-N-TypeA,A1
Tbb1125VSG-4768,460,378,VSG-N-TypeB,B2
Tbb1125VSG-4161,505,395,VSG-N-TypeB,B2
Tbb1125VSG-4766,460,448,VSG-N-TypeA,A1
Tbb1125VSG-4767,460,390,VSG-N-TypeB,B1
Tbb1125VSG-4764,461,393,VSG-N-TypeB,B1
Tbb1125VSG-4765,461,400,VSG-N-TypeA,A3
Tbb1125VSG-4762,461,384,VSG-N-TypeA,A2
Tbb1125VSG-4162,505,396,VSG-N-TypeB,B2
Tbb1125VSG-4760,462,397,VSG-N-TypeB,B2
Tbb1125VSG-4761,461,375,VSG-N-TypeB,B2
Tbb1125VSG-4163,504,375,VSG-N-TypeB,B2
Tbb1125VSG-4164,504,431,VSG-N-TypeA,A1
Tbb1125VSG-4165,503,415,VSG-N-TypeA,A1
Tbb1125VSG-1066,491,433,VSG-N-TypeA,A1
Tbb1125VSG-1067,542,420,VSG-N-TypeA,A1
Tbb1125VSG-1064,492,392,VSG-N-TypeA,A2
Tbb1125VSG-1065,466,381,VSG-N-TypeA,A2
Tbb1125VSG-1062,494,398,VSG-N-TypeB,B1
Tbb1125VSG-1063,493,396,VSG-N-TypeB,B1
Tbb1125VSG-1060,494,391,VSG-N-TypeA,A2
Tbb1125VSG-1061,494,397,VSG-N-TypeB,B1
Tbb1125VSG-5016,402,387,VSG-N-TypeA,A2
Tbb1125VSG-5015,402,403,VSG-N-TypeA,A1
Tbb1125VSG-4167,503,386,VSG-N-TypeB,B2
Tbb1125VSG-4018,565,444,VSG-N-TypeB,B2
Tbb1125VSG-4019,558,445,VSG-N-TypeB,B2
Tbb1125VSG-1068,491,389,VSG-N-TypeB,B2
Tbb1125VSG-1069,490,396,VSG-N-TypeB,B2
Tbb1125VSG-1361,392,381,VSG-N-TypeA,A1
Tbb1125VSG-2869,304,251,VSG-N-TypeB,B2
Tbb1125VSG-2868,305,306,VSG-N-TypeB,B1
Tbb1125VSG-2867,305,304,VSG-N-TypeB,B1
Tbb1125VSG-2866,305,306,VSG-N-TypeB,B1
Tbb1125VSG-2865,305,285,VSG-N-TypeB,B1
Tbb1125VSG-2864,305,290,VSG-N-TypeB,B1
Tbb1125VSG-2863,305,247,VSG-N-TypeB,B2
